MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
2022-01-03 17:59:23.547,8,0,0
2022-01-03 17:59:28.589,8,1,0
2022-01-03 17:59:59.817,8,1,0
2022-01-03 18:00:00.818,8,1,0
2022-01-03 18:00:15.934,8,0,0
2022-01-03 18:30:08.829,8,1,0
2022-01-03 18:30:10.344,8,0,0
2022-01-03 18:30:13.387,8,1,0
2022-01-03 18:30:18.414,8,0,0
2022-01-03 18:30:30.513,8,1,0
2022-01-03 18:30:58.782,8,0,0
2022-01-03 18:31:05.832,8,0,0
2022-01-03 18:34:23.781,8,1,0
2022-01-03 18:34:24.798,8,1,0
2022-01-03 18:34:33.883,8,0,0
2022-01-03 18:34:57.077,8,0,0
2022-01-03 18:35:35.439,8,1,0
2022-01-03 18:37:05.306,8,0,0
2022-01-03 18:37:13.387,8,1,0
2022-01-03 18:37:23.462,8,0,0
2022-01-03 18:37:32.527,8,1,0
2022-01-03 18:37:46.596,8,0,0
2022-01-03 18:37:51.627,8,1,0
2022-01-03 18:38:03.732,8,0,0
2022-01-03 18:38:37.954,8,1,0
2022-01-03 18:38:55.106,8,0,0
2022-01-03 18:39:03.136,8,1,0
2022-01-03 18:39:15.231,8,0,0
2022-01-03 18:39:17.765,8,1,0
2022-01-03 18:39:19.782,8,0,0
2022-01-03 18:39:22.807,8,1,0
2022-01-03 18:39:35.918,8,0,0
2022-01-03 18:39:38.961,8,1,0
2022-01-03 18:40:10.214,8,0,0
2022-01-03 18:40:20.279,8,1,0
2022-01-03 18:40:36.455,8,0,0
2022-01-03 18:41:49.139,8,1,0
2022-01-03 18:42:04.256,8,0,0
2022-01-03 18:42:13.810,8,1,0
2022-01-03 18:42:28.925,8,0,0
2022-01-03 18:42:36.988,8,1,0
2022-01-03 18:42:54.157,8,0,0
2022-01-03 18:43:00.207,8,1,0
2022-01-03 18:43:28.462,8,0,0
2022-01-03 18:43:34.492,8,1,0
2022-01-03 18:46:17.967,8,0,0
2022-01-03 18:47:21.551,8,1,0
2022-01-03 18:47:29.612,8,0,0
2022-01-03 18:47:35.650,8,1,0
2022-01-03 18:47:49.252,8,0,0
2022-01-03 18:47:53.303,8,1,0
2022-01-03 18:48:36.826,8,1,0
2022-01-03 19:00:23.025,8,1,0
2022-01-03 19:00:24.035,8,1,0
2022-01-03 19:00:27.070,8,0,0
2022-01-03 19:00:29.101,8,1,0
2022-01-03 19:55:02.999,8,1,0
2022-01-03 19:55:04.015,8,1,0
2022-01-03 20:01:19.596,8,0,0
2022-01-03 20:01:29.668,8,1,0
2022-01-03 20:02:17.669,8,0,0
2022-01-03 20:02:24.696,8,1,0
2022-01-03 20:02:35.766,8,0,0
2022-01-03 20:03:22.157,8,1,0
2022-01-03 20:05:00.146,8,0,0
2022-01-03 20:05:36.381,8,1,0
2022-01-03 20:06:19.730,8,0,0
2022-01-03 20:06:52.018,8,1,0
2022-01-03 20:08:25.063,8,0,0
2022-01-03 20:08:36.157,8,1,0
2022-01-03 20:08:48.253,8,0,0
2022-01-03 20:09:08.423,8,1,0
2022-01-03 20:09:28.557,8,0,0
2022-01-03 20:09:33.592,8,1,0
2022-01-03 20:10:25.014,8,0,0
2022-01-03 20:10:35.084,8,1,0
2022-01-03 20:15:06.763,8,1,0
2022-01-03 20:15:12.815,8,1,0
2022-01-03 20:21:53.738,8,0,0
2022-01-03 20:22:10.074,8,1,0
2022-01-03 20:29:44.345,8,0,0
2022-01-03 20:29:52.397,8,0,0
2022-01-03 20:29:55.410,8,0,0
2022-01-03 20:29:59.439,8,0,0
2022-01-03 20:30:01.443,8,0,0
2022-01-03 20:30:21.616,8,0,0
2022-01-03 20:30:24.649,8,0,0
2022-01-03 20:30:26.667,8,0,0
2022-01-03 20:30:31.714,8,0,0
2022-01-03 20:30:32.724,8,0,0
2022-01-03 20:30:34.732,8,1,0
2022-01-03 20:31:39.355,8,0,0
2022-01-03 20:32:08.554,8,1,0
2022-01-03 20:32:22.712,8,1,0
2022-01-03 20:32:24.729,8,0,0
2022-01-03 20:32:25.739,8,1,0
2022-01-03 20:32:26.758,8,0,0
2022-01-03 20:33:41.468,8,0,0
2022-01-03 21:01:54.631,8,1,0
2022-01-03 21:01:55.647,8,1,0
2022-01-03 21:01:56.655,8,0,0
2022-01-03 21:05:10.014,8,0,0
2022-01-03 21:05:11.015,8,1,0
2022-01-03 21:05:15.033,8,0,0
2022-01-03 21:06:23.538,8,0,0
2022-01-03 21:09:44.426,8,0,0
2022-01-03 21:09:45.452,8,0,0
2022-01-03 21:09:46.471,8,0,0
2022-01-03 21:09:56.553,8,0,0
2022-01-03 21:15:52.256,8,0,0
2022-01-03 21:16:08.387,8,0,0
2022-01-03 21:16:27.595,8,0,0
2022-01-03 21:16:31.630,8,0,0
2022-01-03 21:16:33.650,8,0,0
2022-01-03 21:16:37.691,8,0,0
2022-01-03 21:16:39.710,8,0,0
2022-01-03 21:16:47.790,8,1,0
2022-01-03 21:17:00.905,8,0,0
2022-01-03 21:17:14.058,8,1,0
2022-01-03 21:18:14.725,8,0,0
2022-01-03 22:11:09.532,8,1,0
2022-01-03 22:11:10.536,8,1,0
2022-01-03 22:11:11.539,8,0,0
2022-01-03 23:39:13.520,8,1,0
2022-01-03 23:39:14.526,8,1,0
2022-01-03 23:39:15.527,8,0,0
2022-01-04 00:16:01.009,8,1,0
2022-01-04 00:16:02.021,8,0,0
2022-01-04 00:16:07.072,8,1,0
2022-01-04 00:16:11.125,8,0,0
2022-01-04 01:43:58.043,8,1,0
2022-01-04 01:43:59.053,8,1,0
2022-01-04 01:44:00.062,8,0,0
2022-01-04 01:44:01.070,8,0,0
2022-01-04 01:44:15.158,8,0,0
2022-01-04 02:44:05.448,8,1,0
2022-01-04 02:44:06.450,8,0,0
2022-01-04 04:13:22.834,8,1,0
2022-01-04 04:13:23.841,8,1,0
2022-01-04 04:13:24.849,8,0,0
2022-01-04 04:13:25.858,8,1,0
2022-01-04 04:13:27.873,8,0,0
2022-01-04 04:13:28.881,8,1,0
2022-01-04 04:13:29.895,8,1,0
2022-01-05 21:12:15.847,8,0,0
2022-01-05 21:12:16.851,8,1,0
2022-01-05 21:12:53.186,8,0,0
2022-01-05 21:18:01.810,8,1,0
2022-01-05 21:18:25.043,8,0,0
2022-01-05 21:18:37.119,8,1,0
2022-01-05 21:18:47.219,8,0,0
2022-01-05 21:30:24.905,8,1,0
2022-01-05 21:30:25.915,8,0,0
2022-01-05 21:30:26.927,8,1,0
2022-01-05 21:30:55.151,8,1,0
2022-01-05 21:30:57.172,8,0,0
2022-01-05 21:32:46.622,8,1,0
2022-01-05 21:38:24.143,8,0,0
2022-01-05 21:40:26.224,8,1,0
2022-01-05 22:22:40.391,8,1,0
2022-01-05 22:22:41.393,8,1,0
2022-01-06 00:44:43.078,8,1,0
2022-01-06 00:44:44.082,8,1,0
2022-01-06 00:50:53.058,8,0,0
2022-01-06 01:11:57.660,8,0,0
2022-01-06 01:12:06.718,8,0,0
2022-01-06 01:23:13.680,8,0,0
2022-01-06 01:23:17.720,8,0,0
2022-01-06 01:29:32.394,8,0,0
2022-01-06 01:29:35.407,8,0,0
2022-01-06 01:31:57.414,8,0,0
2022-01-06 01:31:59.429,8,0,0
2022-01-06 02:03:43.327,8,0,0
2022-01-06 02:03:45.340,8,0,0
2022-01-06 02:08:47.717,8,1,0
2022-01-06 02:09:02.875,8,1,0
2022-01-06 02:09:05.891,8,0,0
2022-01-06 02:09:06.921,8,1,0
2022-01-06 02:09:08.942,8,0,0
2022-01-06 03:02:13.527,8,1,0
2022-01-06 03:02:14.542,8,0,0
2022-01-06 03:02:22.646,8,1,0
2022-01-06 03:02:23.660,8,1,0
2022-01-06 03:02:24.675,8,1,0
2022-01-06 03:02:32.733,8,0,0
2022-01-06 03:25:11.999,8,1,0
2022-01-06 03:25:15.028,8,1,0
2022-01-06 03:25:16.041,8,1,0
2022-01-06 03:25:20.071,8,1,0
2022-01-06 03:25:21.083,8,1,0
2022-01-06 17:07:15.600,8,0,0
2022-01-06 17:07:16.616,8,1,0
2022-01-06 17:07:19.651,8,0,0
2022-01-06 17:08:42.390,8,1,0
2022-01-06 17:08:43.914,8,1,0
2022-01-06 17:08:44.919,8,1,0
2022-01-06 17:08:51.475,8,0,0
2022-01-06 17:14:49.802,8,1,0
2022-01-06 17:19:27.308,8,1,0
2022-01-06 17:19:56.641,8,0,0
2022-01-06 17:20:23.919,8,0,0
2022-01-06 17:20:25.944,8,0,0
2022-01-06 17:20:49.163,8,1,0
2022-01-06 17:20:56.248,8,0,0
2022-01-06 17:21:11.368,8,1,0
2022-01-06 17:21:21.451,8,0,0
2022-01-06 17:21:26.515,8,1,0
2022-01-06 17:22:42.243,8,0,0
2022-01-06 17:53:26.701,8,1,0
2022-01-06 17:53:27.713,8,1,0
2022-01-06 17:53:28.719,8,0,0
2022-01-06 18:07:54.555,8,1,0
2022-01-06 18:07:57.580,8,1,0
2022-01-06 18:07:58.591,8,0,0
2022-01-06 18:43:52.095,8,1,0
2022-01-06 18:43:58.135,8,0,0
2022-01-06 18:44:04.194,8,0,0
2022-01-06 18:44:07.232,8,0,0
2022-01-06 18:44:11.271,8,0,0
2022-01-06 18:44:15.309,8,0,0
2022-01-06 18:44:18.337,8,0,0
2022-01-06 18:44:19.338,8,0,0
2022-01-06 18:48:35.538,8,0,0
2022-01-06 18:48:58.761,8,0,0
2022-01-06 19:37:35.778,8,0,0
2022-01-06 19:38:15.032,8,1,0
2022-01-06 19:38:17.044,8,1,0
2022-01-06 19:38:19.055,8,0,0
2022-01-06 19:40:09.782,8,0,0
2022-01-06 19:41:38.219,8,0,0
2022-01-06 20:36:23.388,8,0,0
2022-01-06 20:37:38.815,8,0,0
2022-01-06 20:43:22.924,8,0,0
2022-01-06 20:43:24.947,8,1,0
2022-01-06 20:43:34.012,8,0,0
2022-01-06 21:04:11.828,8,1,0
2022-01-06 21:04:13.847,8,1,0
2022-01-06 21:04:20.921,8,0,0
2022-01-06 22:44:59.065,8,1,0
2022-01-06 22:45:00.069,8,1,0
2022-01-06 22:45:01.083,8,0,0
2022-01-06 23:15:21.158,8,1,0
2022-01-06 23:19:50.040,8,0,0
2022-01-06 23:19:58.074,8,1,0
2022-01-06 23:20:03.118,8,0,0
2022-01-06 23:20:06.141,8,1,0
2022-01-06 23:20:58.659,8,0,0
2022-01-06 23:22:28.387,8,0,0
2022-01-06 23:22:30.406,8,1,0
2022-01-06 23:22:40.510,8,1,0
2022-01-06 23:22:43.542,8,0,0
2022-01-06 23:25:19.967,8,1,0
2022-01-06 23:25:22.981,8,0,0
2022-01-06 23:26:09.325,8,0,0
2022-01-06 23:26:41.607,8,0,0
2022-01-06 23:27:01.777,8,0,0
2022-01-06 23:27:10.861,8,0,0
2022-01-06 23:27:59.143,8,0,0
2022-01-06 23:29:08.600,8,1,0
2022-01-06 23:29:47.921,8,0,0
2022-01-06 23:30:37.283,8,1,0
2022-01-06 23:30:38.288,8,1,0
2022-01-06 23:30:43.321,8,0,0
2022-01-06 23:30:57.423,8,0,0
2022-01-06 23:31:01.456,8,0,0
2022-01-06 23:31:03.474,8,0,0
2022-01-06 23:31:04.481,8,0,0
2022-01-06 23:31:08.527,8,0,0
2022-01-06 23:31:52.796,8,0,0
2022-01-06 23:32:11.925,8,1,0
2022-01-06 23:32:58.202,8,0,0
2022-01-06 23:32:59.706,8,0,0
2022-01-06 23:33:20.841,8,0,0
2022-01-06 23:33:21.855,8,1,0
2022-01-06 23:33:57.090,8,0,0
2022-01-06 23:34:36.355,8,1,0
2022-01-06 23:34:37.361,8,0,0
2022-01-06 23:34:39.374,8,1,0
2022-01-06 23:34:45.427,8,0,0
2022-01-06 23:35:51.900,8,1,0
2022-01-06 23:35:52.906,8,0,0
2022-01-06 23:36:41.303,8,1,0
2022-01-06 23:36:43.314,8,0,0
2022-01-06 23:36:47.346,8,0,0
2022-01-06 23:36:49.367,8,1,0
2022-01-06 23:36:50.890,8,0,0
2022-01-06 23:36:52.900,8,0,0
2022-01-06 23:36:53.903,8,0,0
2022-01-06 23:36:57.929,8,1,0
2022-01-06 23:37:03.476,8,0,0
2022-01-06 23:37:08.510,8,0,0
2022-01-06 23:37:19.560,8,0,0
2022-01-06 23:37:21.578,8,0,0
2022-01-07 00:52:14.346,8,0,0
2022-01-07 00:52:56.647,8,0,0
2022-01-07 00:53:02.704,8,0,0
2022-01-07 01:17:43.662,8,0,0
2022-01-07 02:19:32.494,8,1,0
2022-01-07 02:19:34.508,8,1,0
2022-01-07 02:19:35.510,8,0,0
2022-01-07 02:19:39.544,8,1,0
2022-01-07 02:19:54.599,8,0,0
2022-01-07 03:06:18.713,8,1,0
2022-01-07 03:06:20.735,8,1,0
2022-01-07 03:06:21.747,8,0,0
2022-01-07 03:30:06.814,8,1,0
2022-01-07 03:30:07.834,8,0,0
2022-01-07 04:32:11.408,8,1,0
2022-01-07 04:32:12.417,8,0,0
2022-01-07 04:38:01.887,8,1,0
2022-01-07 04:38:03.896,8,1,0
2022-01-07 04:38:27.167,8,0,0
2022-01-07 06:45:50.043,8,1,0
2022-01-07 06:45:51.049,8,0,0
2022-01-07 06:45:52.057,8,1,0
2022-01-07 06:45:53.064,8,1,0
2022-01-07 06:45:54.076,8,1,0
2022-01-07 06:45:55.088,8,1,0
2022-01-07 06:45:56.088,8,0,0
2022-01-07 06:46:00.627,8,0,0
2022-01-07 18:01:33.660,8,0,0
2022-01-07 18:01:35.160,8,1,0
2022-01-07 18:01:39.213,8,0,0
2022-01-07 18:01:44.751,8,0,0
2022-01-07 18:02:04.944,8,0,0
2022-01-07 18:02:13.022,8,0,0
2022-01-07 18:02:17.072,8,0,0
2022-01-07 18:02:20.091,8,0,0
2022-01-07 18:02:21.092,8,0,0
2022-01-07 18:02:27.162,8,0,0
2022-01-07 18:02:30.201,8,0,0
2022-01-07 18:03:11.529,8,1,0
2022-01-07 18:03:18.572,8,1,0
2022-01-07 18:03:24.597,8,0,0
2022-01-07 18:05:40.410,8,1,0
2022-01-07 18:05:42.433,8,0,0
2022-01-07 18:05:45.446,8,0,0
2022-01-07 18:06:11.589,8,1,0
2022-01-07 18:06:58.907,8,0,0
2022-01-07 18:19:45.039,8,0,0
2022-01-07 18:19:47.057,8,1,0
2022-01-07 18:19:51.087,8,0,0
2022-01-07 18:19:55.134,8,1,0
2022-01-07 18:19:56.145,8,1,0
2022-01-07 18:20:00.170,8,1,0
2022-01-07 18:20:02.187,8,0,0
2022-01-07 18:20:09.255,8,0,0
2022-01-07 18:20:30.411,8,1,0
2022-01-07 18:20:32.438,8,1,0
2022-01-07 18:21:23.865,8,0,0
2022-01-07 18:21:30.951,8,1,0
2022-01-07 18:21:31.968,8,1,0
2022-01-07 18:21:35.495,8,0,0
2022-01-07 18:21:40.518,8,1,0
2022-01-07 18:21:56.648,8,1,0
2022-01-07 18:22:05.730,8,0,0
2022-01-07 18:22:17.827,8,1,0
2022-01-07 18:22:18.833,8,1,0
2022-01-07 18:22:26.921,8,0,0
2022-01-07 18:26:17.357,8,1,0
2022-01-07 18:26:46.635,8,1,0
2022-01-07 18:26:58.809,8,0,0
2022-01-07 18:28:45.704,8,1,0
2022-01-07 18:28:46.718,8,1,0
2022-01-07 18:28:52.762,8,0,0
2022-01-07 18:30:00.356,8,1,0
2022-01-07 18:30:13.465,8,0,0
2022-01-07 18:30:16.497,8,1,0
2022-01-07 18:30:17.507,8,1,0
2022-01-07 18:30:22.559,8,0,0
2022-01-07 18:30:36.669,8,1,0
2022-01-07 18:30:41.709,8,0,0
2022-01-07 18:31:10.999,8,1,0
2022-01-07 18:31:21.086,8,0,0
2022-01-07 18:32:45.837,8,0,0
2022-01-07 18:32:47.845,8,1,0
2022-01-07 18:32:56.942,8,0,0
2022-01-07 18:33:21.160,8,1,0
2022-01-07 18:33:23.172,8,0,0
2022-01-07 19:01:45.889,8,1,0
2022-01-07 19:01:48.917,8,0,0
2022-01-07 19:01:50.937,8,1,0
2022-01-07 19:01:52.943,8,1,0
2022-01-07 19:01:55.970,8,1,0
2022-01-07 19:01:56.974,8,1,0
2022-01-07 19:02:13.121,8,1,0
2022-01-07 19:02:15.147,8,1,0
2022-01-07 19:03:07.669,8,0,0
2022-01-07 19:03:17.745,8,1,0
2022-01-07 19:03:19.777,8,1,0
2022-01-07 19:03:20.786,8,1,0
2022-01-07 19:03:35.944,8,0,0
2022-01-07 19:03:41.502,8,1,0
2022-01-07 19:03:43.515,8,0,0
2022-01-07 19:03:45.534,8,1,0
2022-01-07 19:03:58.636,8,1,0
2022-01-07 19:03:59.651,8,0,0
2022-01-07 19:13:14.969,8,1,0
2022-01-07 19:13:15.971,8,0,0
2022-01-07 19:13:19.972,8,1,0
2022-01-07 19:13:20.972,8,0,0
2022-01-07 19:13:21.973,8,1,0
2022-01-07 19:13:22.974,8,0,0
2022-01-07 19:14:55.024,8,1,0
2022-01-07 19:14:56.025,8,0,0
2022-01-07 19:19:56.179,8,1,0
2022-01-07 19:19:57.180,8,0,0
2022-01-07 19:27:20.407,8,1,0
2022-01-07 19:27:21.408,8,0,0
2022-01-07 19:27:22.412,8,1,0
2022-01-07 19:27:24.413,8,0,0
2022-01-07 19:39:47.804,8,0,0
2022-01-07 19:39:49.805,8,0,0
2022-01-07 19:45:23.996,8,0,0
2022-01-07 19:45:26.998,8,0,0
2022-01-07 19:45:56.012,8,1,0
2022-01-07 19:45:57.015,8,0,0
2022-01-07 19:58:54.419,8,0,0
2022-01-07 20:00:09.461,8,1,0
2022-01-07 20:00:10.461,8,1,0
2022-01-07 20:00:24.468,8,0,0
2022-01-07 20:02:27.531,8,0,0
2022-01-07 20:04:31.602,8,1,0
2022-01-07 20:04:32.603,8,0,0
2022-01-07 20:05:14.630,8,1,0
2022-01-07 20:05:15.631,8,0,0
2022-01-07 20:05:36.642,8,0,0
2022-01-07 20:06:06.655,8,0,0
2022-01-07 20:06:08.656,8,1,0
2022-01-07 20:06:16.659,8,0,0
2022-01-07 20:06:19.661,8,1,0
2022-01-07 20:06:25.665,8,0,0
2022-01-07 20:06:28.666,8,1,0
2022-01-07 20:08:55.735,8,0,0
2022-01-07 20:13:19.903,8,1,0
2022-01-07 20:13:24.946,8,0,0
2022-01-07 20:13:26.963,8,0,0
2022-01-07 20:13:27.969,8,0,0
2022-01-07 20:13:39.078,8,0,0
2022-01-07 20:14:03.259,8,1,0
2022-01-07 20:14:05.270,8,0,0
2022-01-07 20:14:07.291,8,0,0
2022-01-07 20:14:10.311,8,0,0
2022-01-07 20:14:11.315,8,0,0
2022-01-07 20:14:38.514,8,0,0
2022-01-07 20:14:40.537,8,1,0
2022-01-07 20:14:45.601,8,0,0
2022-01-07 20:15:02.732,8,0,0
2022-01-07 20:16:27.301,8,0,0
2022-01-07 20:16:28.303,8,0,0
2022-01-07 20:16:31.327,8,0,0
2022-01-07 20:17:46.893,8,0,0
2022-01-07 20:21:51.893,8,0,0
2022-01-07 20:22:20.098,8,0,0
2022-01-07 20:22:29.147,8,0,0
2022-01-07 20:22:34.192,8,0,0
2022-01-07 20:23:29.586,8,0,0
2022-01-07 20:23:33.609,8,1,0
2022-01-07 20:23:36.647,8,1,0
2022-01-07 20:23:39.670,8,1,0
2022-01-07 20:23:43.711,8,0,0
2022-01-07 20:26:55.192,8,1,0
2022-01-07 20:26:57.213,8,1,0
2022-01-07 20:26:59.241,8,0,0
2022-01-07 20:27:49.616,8,0,0
2022-01-07 20:27:50.618,8,0,0
2022-01-07 20:28:08.769,8,1,0
2022-01-07 20:28:20.870,8,0,0
2022-01-07 20:28:51.143,8,1,0
2022-01-07 20:30:14.016,8,0,0
2022-01-07 20:30:16.037,8,1,0
2022-01-07 20:31:09.620,8,0,0
2022-01-07 20:31:23.693,8,0,0
2022-01-07 20:45:45.870,8,0,0
2022-01-07 20:48:56.867,8,0,0
2022-01-07 20:48:57.876,8,0,0
2022-01-07 20:48:58.886,8,1,0
2022-01-07 20:49:12.980,8,0,0
2022-01-07 20:49:52.762,8,1,0
2022-01-07 20:49:59.812,8,0,0
2022-01-07 20:50:21.986,8,1,0
2022-01-07 21:10:47.618,8,1,0
2022-01-07 21:10:48.628,8,1,0
2022-01-07 21:10:50.637,8,0,0
2022-01-07 21:10:57.688,8,1,0
2022-01-07 21:14:32.147,8,0,0
2022-01-07 22:08:11.818,8,1,0
2022-01-07 22:08:12.827,8,1,0
2022-01-07 22:08:13.839,8,0,0
2022-01-07 22:52:46.046,8,1,0
2022-01-07 22:52:47.046,8,1,0
2022-01-07 22:52:48.053,8,0,0
2022-01-07 22:52:53.088,8,0,0
2022-01-07 22:52:57.123,8,1,0
2022-01-07 23:33:37.373,8,1,0
2022-01-07 23:33:38.376,8,1,0
2022-01-07 23:33:42.403,8,0,0
2022-01-07 23:33:44.433,8,1,0
2022-01-07 23:33:45.444,8,1,0
2022-01-10 16:49:35.633,8,0,0
2022-01-10 16:49:36.644,8,1,0
2022-01-10 16:49:48.742,8,1,0
2022-01-10 16:49:59.833,8,0,0
2022-01-10 16:50:06.889,8,0,0
2022-01-10 16:50:10.415,8,0,0
2022-01-10 16:50:26.488,8,1,0
2022-01-10 16:50:27.496,8,0,0
2022-01-10 16:50:32.538,8,1,0
2022-01-10 16:50:34.553,8,1,0
2022-01-10 16:50:39.582,8,0,0
2022-01-10 16:52:15.389,8,0,0
2022-01-10 16:52:17.404,8,1,0
2022-01-10 16:52:18.414,8,0,0
2022-01-10 16:53:45.159,8,0,0
2022-01-10 16:53:50.193,8,0,0
2022-01-10 16:53:51.208,8,1,0
2022-01-10 16:54:14.400,8,0,0
2022-01-10 16:55:26.077,8,1,0
2022-01-10 16:55:29.103,8,0,0
2022-01-10 16:55:52.300,8,0,0
2022-01-10 16:55:55.326,8,0,0
2022-01-10 16:56:02.385,8,0,0
2022-01-10 16:56:04.406,8,0,0
2022-01-10 17:00:30.555,8,0,0
2022-01-10 17:00:33.582,8,0,0
2022-01-10 17:00:34.597,8,0,0
2022-01-10 17:03:16.139,8,0,0
2022-01-10 17:05:08.992,8,0,0
2022-01-10 17:06:27.877,8,0,0
2022-01-10 17:06:29.907,8,0,0
2022-01-10 17:07:27.492,8,0,0
2022-01-10 17:07:30.516,8,0,0
2022-01-10 17:08:27.099,8,0,0
2022-01-10 17:10:14.300,8,0,0
2022-01-10 17:10:16.315,8,0,0
2022-01-10 17:12:55.977,8,0,0
2022-01-10 17:14:48.813,8,0,0
2022-01-10 17:14:58.907,8,0,0
2022-01-10 17:15:01.923,8,0,0
2022-01-10 17:20:35.804,8,0,0
2022-01-10 17:21:30.243,8,1,0
2022-01-10 17:21:32.260,8,1,0
2022-01-10 17:21:37.304,8,0,0
2022-01-10 17:59:17.882,8,1,0
2022-01-10 18:01:05.761,8,1,0
2022-01-10 18:01:06.763,8,0,0
